Card Number,Account Number,Username,Password,FirstName,LastName,PinNumber,AvailableBalance,TotalBalance,TransferLimit,IsAdmin
4444555566667777,409000362497,phileo,123456,Phileo,Teo,123456,10000,50000,2000,FALSE
4556220772249664,1196711,huilun,123456,HuiLun,Ang,123456,10000,150000,2000,FALSE
4444333322221111,1196428,aaron,123456,Aaron,Ti,123456,10000,100000,2000,FALSE
4716710330923146,409000438620,sihui,123456,SiHui,Ong,123456,10000,200000,2000,FALSE
4716389011305954,409000493210,nathan,123456,Nathan,Ong,123456,10000,250000,2000,FALSE
4929060415546658,409000438611,mike,123456,Mike,Oxlong,123456,10000,300000,3000,FALSE
4024007150891363,409000405747,ben,123456,Ben,Dover,123456,10000,350000,3000,FALSE
4752649194440661,409000425051,hugh,123456,Hugh,Janus,123456,10000,400000,3000,FALSE
4556860433124838,409000493201,jack,123456,Jack,Goff,123456,10000,450000,3000,FALSE
4929891899678231,409000611074,moe,123456,Moe,Lester,123456,10000,500000,3000,FALSE
