Account Number,Username,Password,FirstName,LastName,PinNumber,AvailableBalance,TotalBalance,TransferLimit,IsAdmin
409000362497,409000362497,,Jun,Tao,123456,-1.90E+09,-1.90E+09,0,FALSE
1196428,1196428,,Ti,Ti,123456,-1.69E+09,-1.69E+09,0,FALSE
1196711,1196711,,Jun,Jun,123456,-1.59E+09,-1.59E+09,0,FALSE
409000438620,409000438620,,Yue,Ti,123456,-5.40E+08,-5.40E+08,0,FALSE
409000493210,409000493210,,Hu,Jun,123456,-5.46E+08,-5.46E+08,0,FALSE
409000438611,409000438611,,Ti,Ti,123456,-5.48E+08,-5.48E+08,0,FALSE
409000405747,409000405747,,Jun,Yue,123456,-5.48E+08,-5.48E+08,0,FALSE
409000425051,409000425051,,Ti,Tao,123456,-3.57E+08,-3.57E+08,0,FALSE
409000493201,409000493201,,Kai,Jun,123456,743583.32,743583.32,0,FALSE
409000611074,409000611074,,Tao,Ti,123456,462200,462200,0,FALSE
